2026-03-02 09:38:27 cursor=803,509 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:28 cursor=786,612 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:29 cursor=821,842 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:30 cursor=229,285 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:31 cursor=176,224 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:32 cursor=124,546 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:33 cursor=167,611 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:34 cursor=184,639 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:35 cursor=200,443 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:36 cursor=243,408 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:37 cursor=229,348 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:39 cursor=185,278 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
